"","diff","lwr","upr","p adj"
"D8:Batch 3-D12:Batch 1",58.3392857142858,9.71117643508617,106.967394993485,0.00378168994921813
"D8:Batch 3-D13:Batch 1",60.425,6.86045151273408,113.989548487266,0.0101942598371451
"D8:Batch 3-D8:Batch 1",42.929347826087,4.3630719664882,81.4956236856858,0.0124296091591271
"D10:Batch 3-D8:Batch 3",-46.3173076923077,-88.5383300884515,-4.09628529616389,0.0153366815651462
"D8:Batch 3-D13:Batch 2",58.625,5.0604515127341,112.189548487266,0.0158491651092892
"D8:Batch 3-D9:Batch 2",50.5,3.5207831986832,97.4792168013168,0.0203292720198267
"D8:Batch 3-D10:Batch 2",41.7202380952381,2.68290629034953,80.7575699001267,0.021979332996784
"D13:Batch 3-D8:Batch 3",-66.625,-130.235160252269,-3.01483974773062,0.0285983751976392
"D8:Batch 4-D8:Batch 3",-49.125,-99.86835371727,1.61835371726997,0.0712603129647413
"D11:Batch 3-D8:Batch 3",-45.9107142857143,-94.5388235649139,2.71739499348529,0.091895198235933
"D12:Batch 3-D8:Batch 3",-50.375,-107.912554839406,7.16255483940628,0.178695221647227
"D8:Batch 3-D12:Batch 2",43.625,-7.11835371726996,94.36835371727,0.205384476229756
"D8:Batch 3-D11:Batch 2",41.4821428571429,-7.14596642205667,90.1102521363425,0.217459210126781
"D8:Batch 3-D11:Batch 1",46.625,-10.9125548394063,104.162554839406,0.306063977010742
"D8:Batch 2-D12:Batch 1",34.2767857142857,-8.30174536950692,76.8553167980783,0.318410808146985
"D12:Batch 1-D9:Batch 1",-41.7142857142857,-93.9879324904637,10.5593610618924,0.335151688878772
"D13:Batch 1-D9:Batch 1",-43.7999999999999,-100.694656953492,13.0946569534919,0.406584321695181
"D8:Batch 2-D13:Batch 1",36.3625,-11.7768721586435,84.5018721586435,0.445636395481132
"D12:Batch 1-D10:Batch 1",-33.7142857142857,-78.4004343160495,10.9718628874782,0.448078485500799
"D13:Batch 3-D9:Batch 1",-50,-116.438645550088,16.4386455500882,0.453287923698275
"D13:Batch 2-D9:Batch 1",-42,-98.8946569534918,14.8946569534919,0.493350207549703
"D13:Batch 3-D8:Batch 2",-42.5625,-101.676718124772,16.5517181247719,0.545062073514692
"D13:Batch 2-D8:Batch 2",-34.5625,-82.7018721586435,13.5768721586435,0.550883231601671
"D13:Batch 1-D10:Batch 1",-35.7999999999999,-85.8131954531382,14.2131954531383,0.557047752567116
"D9:Batch 3-D12:Batch 1",36.8809523809523,-15.3926943952257,89.1545991571304,0.586411427180829
"D13:Batch 3-D10:Batch 1",-42,-102.649908096456,18.6499080964559,0.623447554995033
"D9:Batch 3-D13:Batch 1",38.9666666666666,-17.9279902868253,95.8613236201584,0.644818507119458
"D13:Batch 3-D9:Batch 3",-45.1666666666666,-111.605312216755,21.2719788834216,0.658909530970969
"D13:Batch 2-D10:Batch 1",-34,-84.0131954531382,16.0131954531383,0.65892234480024
"D9:Batch 2-D9:Batch 1",-33.8749999999999,-84.6183537172699,16.8683537172701,0.692379047835718
"D9:Batch 3-D13:Batch 2",37.1666666666666,-19.7279902868253,94.0613236201584,0.730126451450678
"D9:Batch 2-D8:Batch 2",-26.4374999999999,-67.122695199837,14.2476951998371,0.738947719990511
"D10:Batch 3-D9:Batch 1",-29.6923076923076,-76.0653156536911,16.6807002690758,0.762678171746372
"D10:Batch 3-D8:Batch 2",-22.2548076923077,-57.338322757925,12.8287073733096,0.777039659505202
"D8:Batch 2-D8:Batch 1",18.8668478260869,-11.7206648361481,49.454360488322,0.816849417128581
"D9:Batch 1-D8:Batch 1",26.3043478260869,-16.7676705720509,69.3763662242247,0.829801326478738
"D9:Batch 2-D10:Batch 1",-25.8749999999999,-68.7609612933447,17.0109612933449,0.844731522753815
"D8:Batch 4-D9:Batch 1",-32.5,-86.746926933116,21.7469269331161,0.852970103933142
"D8:Batch 3-D8:Batch 2",24.0625,-16.622695199837,64.7476951998371,0.86726646813761
"D10:Batch 2-D9:Batch 1",-25.0952380952381,-68.5895412814695,18.3990650909934,0.891829745988541
"D10:Batch 3-D10:Batch 1",-21.6923076923076,-59.3057839603266,15.9211685757113,0.89224529272913
"D8:Batch 3-D10:Batch 1",24.6250000000001,-18.2609612933447,67.5109612933449,0.896201088509504
"D9:Batch 3-D9:Batch 2",29.0416666666665,-21.7016870506035,79.7850203839365,0.899080948887429
"D10:Batch 2-D8:Batch 2",-17.6577380952381,-48.837083367849,13.5216071773729,0.907954502034613
"D11:Batch 3-D9:Batch 1",-29.2857142857142,-81.5593610618923,22.9879324904638,0.916425950367665
"D8:Batch 4-D8:Batch 2",-25.0625,-70.0416756667427,19.9166756667427,0.920448541615745
"D12:Batch 3-D9:Batch 1",-33.75,-94.3999080964558,26.8999080964559,0.921395704963219
"D10:Batch 1-D8:Batch 1",18.3043478260869,-15.1548287696965,51.7635244218703,0.932924221951679
"D10:Batch 3-D9:Batch 3",-24.8589743589743,-71.2319823203577,21.5140336024092,0.944846727115691
"D8:Batch 4-D10:Batch 1",-24.4999999999999,-71.4792168013167,22.4792168013168,0.958187287301513
"D11:Batch 3-D8:Batch 2",-21.8482142857143,-64.4267453695069,20.7303167980784,0.964692176875218
"D8:Batch 4-D9:Batch 3",-27.6666666666666,-81.9135935997827,26.5802602664495,0.966904688400503
"D10:Batch 2-D10:Batch 1",-17.0952380952381,-51.0962989497778,16.9058227593017,0.971635065444344
"D12:Batch 3-D8:Batch 2",-26.3125,-78.8368611487222,26.2118611487223,0.972744589799884
"D9:Batch 3-D8:Batch 1",21.4710144927535,-21.6010039053843,64.5430328908914,0.97418916265622
"D12:Batch 2-D9:Batch 1",-27,-81.246926933116,27.2469269331161,0.974626012126561
"D11:Batch 1-D9:Batch 1",-29.9999999999999,-90.6499080964558,30.6499080964559,0.976324016640444
"D12:Batch 3-D9:Batch 3",-28.9166666666666,-89.5665747631224,31.7332414297893,0.984495376775493
