"","idx","age.x","batch.x","cloneType.x","counts.x","age.y","batch.y","cloneType.y","counts.y","age.x","batch.x","cloneType.x","counts.x","age.y","batch.y","cloneType.y","counts.y","age.x","batch.x","cloneType.x","counts.x","age.y","batch.y","cloneType.y","counts.y","age","batch","cloneType","counts"
"1",1,"D8","Batch 1","Asym",21,"D9","Batch 1","Asym",20,"D10","Batch 1","Asym",20,"D11","Batch 1","Asym",8,"D12","Batch 1","Asym",7,"D13","Batch 1","Asym",6,"D15","Batch 1","Asym",5
"2",2,"D8","Batch 1","Asym",8,"D9","Batch 1","Asym",11,"D10","Batch 1","Asym",6,"D11","Batch 1","Asym",9,"D12","Batch 1","Asym",12,"D13","Batch 1","Asym",9,"D15","Batch 2","Asym",10
"3",3,"D8","Batch 1","Asym",5,"D9","Batch 1","Asym",7,"D10","Batch 1","Asym",13,"D11","Batch 2","Asym",12,"D12","Batch 1","Asym",7,"D13","Batch 1","Asym",24,"D15","Batch 2","Asym",9
"4",4,"D8","Batch 1","Asym",10,"D9","Batch 1","Asym",10,"D10","Batch 1","Asym",8,"D11","Batch 2","Asym",6,"D12","Batch 1","Asym",8,"D13","Batch 1","Asym",24,"D15","Batch 2","Asym",7
"5",5,"D8","Batch 1","Asym",11,"D9","Batch 1","Asym",6,"D10","Batch 1","Asym",7,"D11","Batch 2","Asym",9,"D12","Batch 1","Asym",19,"D13","Batch 1","Asym",5,"D15","Batch 2","Asym",7
"6",6,"D8","Batch 1","Asym",12,"D9","Batch 1","Asym",5,"D10","Batch 1","Asym",8,"D11","Batch 2","Asym",5,"D12","Batch 1","Asym",8,"D13","Batch 1","Asym",10,"D15","Batch 2","Asym",10
"7",7,"D8","Batch 1","Asym",17,"D9","Batch 2","Asym",14,"D10","Batch 2","Asym",5,"D11","Batch 2","Asym",7,"D12","Batch 2","Asym",6,"D13","Batch 2","Asym",8,"D15","Batch 3","Asym",13
"8",8,"D8","Batch 1","Asym",24,"D9","Batch 2","Asym",13,"D10","Batch 2","Asym",22,"D11","Batch 2","Asym",7,"D12","Batch 2","Asym",10,"D13","Batch 2","Asym",8,"D15","Batch 3","Asym",13
"9",9,"D8","Batch 1","Asym",6,"D9","Batch 2","Asym",6,"D10","Batch 2","Asym",6,"D11","Batch 2","Asym",7,"D12","Batch 2","Asym",6,"D13","Batch 2","Asym",9,"D15","Batch 3","Asym",8
"10",10,"D8","Batch 1","Asym",16,"D9","Batch 2","Asym",6,"D10","Batch 2","Asym",9,"D11","Batch 3","Asym",5,"D12","Batch 2","Asym",7,"D13","Batch 2","Asym",6,"D15","Batch 3","Asym",5
"11",11,"D8","Batch 1","Asym",8,"D9","Batch 3","Asym",10,"D10","Batch 2","Asym",7,"D11","Batch 3","Asym",9,"D12","Batch 2","Asym",6,"D13","Batch 2","Asym",14,"D15","Batch 1","Small",2
"12",12,"D8","Batch 1","Asym",15,"D9","Batch 3","Asym",7,"D10","Batch 2","Asym",12,"D11","Batch 3","Asym",7,"D12","Batch 3","Asym",7,"D13","Batch 2","Asym",14,"D15","Batch 1","Small",2
"13",13,"D8","Batch 2","Asym",5,"D9","Batch 3","Asym",27,"D10","Batch 2","Asym",17,"D11","Batch 3","Asym",14,"D12","Batch 3","Asym",10,"D13","Batch 2","Asym",8,"D15","Batch 1","Small",2
"14",14,"D8","Batch 2","Asym",6,"D9","Batch 3","Asym",6,"D10","Batch 2","Asym",9,"D11","Batch 3","Asym",8,"D12","Batch 3","Asym",6,"D13","Batch 2","Asym",13,"D15","Batch 1","Small",4
"15",15,"D8","Batch 2","Asym",6,"D9","Batch 3","Asym",7,"D10","Batch 2","Asym",6,"D11","Batch 1","Prolif",47,"D12","Batch 3","Asym",8,"D13","Batch 2","Asym",7,"D15","Batch 1","Small",2
"16",16,"D8","Batch 2","Asym",7,"D9","Batch 1","Prolif",41,"D10","Batch 2","Asym",6,"D11","Batch 1","Prolif",35,"D12","Batch 3","Asym",10,"D13","Batch 2","Asym",15,"D15","Batch 1","Small",6
