"","Var1","Freq","age","total_cells","frac","rep"
"15","D8-lineB1",269,"D8",1571,17.1228516868237,"B1"
"13","D8-lineA1",314,"D8",2178,14.4168962350781,"A1"
"14","D8-lineA2",411,"D8",3339,12.3090745732255,"A2"
"16","D8-lineB2",467,"D8",2918,16.0041124057574,"B2"
"3","D13-lineB1",452,"D13",7322,6.17317672767004,"B1"
"1","D13-lineA1",458,"D13",9678,4.73238272370324,"A1"
"4","D13-lineB2",658,"D13",8871,7.41742757299064,"B2"
"2","D13-lineA2",944,"D13",9503,9.93370514574345,"A2"
"6","D20-lineA2",133,"D20",8963,1.4838781657927,"A2"
"8","D20-lineB2",290,"D20",8885,3.26392796848621,"B2"
"5","D20-lineA1",383,"D20",8569,4.46959971992064,"A1"
"7","D20-lineB1",501,"D20",6952,7.20655926352129,"B1"
"9","D25-lineA1",372,"D25",8917,4.17180666143322,"A1"
"10","D25-lineA2",576,"D25",8163,7.05622932745314,"A2"
"11","D25-lineB1",662,"D25",7744,8.54855371900826,"B1"
"12","D25-lineB2",691,"D25",7260,9.51790633608815,"B2"
